Date,Rainfall,Tmax,Tmin,speed
20111120,1.03,25.6,19.3,
20111121,0.06,25.2,18.0,
20111122,2.70,26.0,19.2,
20111123,34.89,25.1,17.6,
20111124,20.82,23.9,16.9,
20111125,9.71,23.2,16.1,
20111126,0.00,24.6,18.2,
20111127,3.91,25.7,18.9,
20111128,1.23,24.7,19.8,
20111129,7.74,24.9,19.0,
20111130,3.46,24.1,18.5,
20111201,0.00,24.3,18.5,
20111202,0.00,25.8,17.8,
20111203,0.00,26.3,19.9,
20111204,2.52,25.0,18.8,
20111205,1.01,24.7,19.1,
20111206,2.85,24.5,18.1,
20111207,0.13,25.0,19.1,
20111208,0.10,27.3,19.2,
20111209,0.04,27.9,18.9,
20111210,0.23,26.6,18.9,
20111211,0.00,26.5,19.3,
20111212,0.24,25.8,18.9,
20111213,0.91,26.3,19.5,
20111214,1.17,24.3,19.3,
20111215,0.65,25.8,18.9,
20111216,2.63,26.9,18.7,
20111217,9.87,26.0,19.1,
20111218,0.82,25.8,18.6,
20111219,0.40,26.6,19.4,
20111220,1.54,27.0,19.3,
20111221,1.20,25.9,19.7,
20111222,0.43,26.7,19.4,
20111223,1.47,26.8,19.9,
20111224,0.69,26.3,18.7,
20111225,0.64,27.1,19.3,
20111226,0.32,28.8,20.1,
20111227,0.18,27.3,20.3,
20111228,1.02,27.9,20.6,
20111229,0.82,27.7,20.6,
20111230,0.43,27.9,20.1,
20111231,0.08,26.0,20.5,
20120101,0.00,28.2,19.1,
20120102,0.38,28.5,17.4,
20120103,0.00,27.8,17.8,
20120104,0.00,27.7,18.8,
20120105,0.00,27.2,19.8,
20120106,0.00,27.5,20.1,
20120107,0.00,27.9,20.0,
20120108,0.00,28.4,19.6,
20120109,0.00,29.3,19.5,
20120110,0.00,28.6,19.6,
20120111,0.31,28.2,20.0,
20120112,0.91,27.3,20.1,
20120113,0.31,27.2,20.7,
20120114,0.00,27.3,18.4,
20120115,0.00,26.3,19.5,
20120116,0.36,28.0,20.3,
20120117,0.40,28.4,19.3,
20120118,0.19,28.3,20.0,
20120119,0.00,27.6,19.4,
20120120,0.85,27.4,19.9,
20120121,0.00,27.7,18.3,
20120122,0.00,27.3,19.4,
20120123,0.00,28.3,19.7,
20120124,0.00,27.7,20.0,
20120125,0.00,31.8,19.7,
20120126,0.00,31.0,19.1,
20120127,0.00,31.0,19.4,
20120128,0.52,31.6,20.5,
20120129,0.00,30.2,19.4,
20120130,0.00,30.1,18.9,
20120131,0.00,30.6,17.6,
